"filename", "language", "Python", "Excel", "CSV", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/pythonhandler/handler/base.py", "Python", 20, 0, 0, 7, 6, 33
"/Users/zhangyiyao/Desktop/pythonhandler/handler/conn.py", "Python", 9, 0, 0, 0, 2, 11
"/Users/zhangyiyao/Desktop/pythonhandler/handler/dashboard.py", "Python", 25, 0, 0, 0, 2, 27
"/Users/zhangyiyao/Desktop/pythonhandler/handler/getstock.py", "Python", 18, 0, 0, 2, 3, 23
"/Users/zhangyiyao/Desktop/pythonhandler/handler/login.py", "Python", 29, 0, 0, 10, 8, 47
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/data/000001.csv", "CSV", 0, 0, 7642, 0, 1, 7643
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/gru_predict.py", "Python", 12, 0, 0, 3, 4, 19
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/lstm_predict.py", "Python", 12, 0, 0, 3, 5, 20
"/Users/zhangyiyao/Desktop/pythonhandler/handler/predict/predict.py", "Python", 94, 0, 0, 6, 16, 116
"/Users/zhangyiyao/Desktop/pythonhandler/handler/register.py", "Python", 39, 0, 0, 11, 8, 58
"/Users/zhangyiyao/Desktop/pythonhandler/handler/research.py", "Python", 16, 0, 0, 0, 3, 19
"/Users/zhangyiyao/Desktop/pythonhandler/handler/simulation.py", "Python", 39, 0, 0, 0, 3, 42
"/Users/zhangyiyao/Desktop/pythonhandler/handler/stocknews.py", "Python", 152, 0, 0, 6, 6, 164
"/Users/zhangyiyao/Desktop/pythonhandler/handler/tempCodeRunnerFile.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/zhangyiyao/Desktop/pythonhandler/handler/test.py", "Python", 0, 0, 0, 0, 1, 1
"/Users/zhangyiyao/Desktop/pythonhandler/handler/transaction.py", "Python", 153, 0, 0, 0, 4, 157
"/Users/zhangyiyao/Desktop/pythonhandler/handler/userinfo.py", "Python", 120, 0, 0, 0, 4, 124
"/Users/zhangyiyao/Desktop/pythonhandler/main.py", "Python", 44, 0, 0, 0, 6, 50
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/LS_LA.xlsx", "Excel", 0, 272, 0, 0, 1, 273
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/all_risk_analysis.xlsx", "Excel", 0, 49, 0, 0, 0, 49
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/group_return.xlsx", "Excel", 0, 747, 0, 0, 8, 755
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/ic_df.xlsx", "Excel", 0, 150, 0, 0, 0, 150
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/monthly_ic.xlsx", "Excel", 0, 59, 0, 0, 1, 60
"/Users/zhangyiyao/Desktop/pythonhandler/model/GATs/monthly_risk_analysis.xlsx", "Excel", 0, 160, 0, 0, 0, 160
